AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
-,-,400B02-EE-AREA-B1.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB1,,,,,,CRA,,,
-,-,400B02-EE-AREA-B1.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB1,,,,,,CRA,,,
-,-,400B02-EE-AREA-B1.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB1,,,,,,CRA,,,
-,-,400B02-EE-AREA-1.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น1,,,,,,CRA,,,
-,-,400B02-EE-AREA-1.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น1,,,,,,CRA,,,
-,-,400B02-EE-AREA-1.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น1,,,,,,CRA,,,
-,-,400B02-EE-AREA-1.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น1,,,,,,CRA,,,
-,-,400B02-EE-AREA-2.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น2,,,,,,CRA,,,
-,-,400B02-EE-AREA-2.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น2,,,,,,CRA,,,
-,-,400B02-EE-AREA-2.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น2,,,,,,CRA,,,
-,-,400B02-EE-AREA-2.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น2,,,,,,CRA,,,
-,-,400B02-EE-AREA-3.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น3,,,,,,CRA,,,
-,-,400B02-EE-AREA-3.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น3,,,,,,CRA,,,
-,-,400B02-EE-AREA-3.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น3,,,,,,CRA,,,
-,-,400B02-EE-AREA-3.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น3,,,,,,CRA,,,
-,-,400B02-EE-AREA-3M.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น3M,,,,,,CRA,,,
-,-,400B02-EE-AREA-3M.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น3M,,,,,,CRA,,,
-,-,400B02-EE-AREA-4.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น4,,,,,,CRA,,,
-,-,400B02-EE-AREA-4.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น4,,,,,,CRA,,,
-,-,400B02-EE-AREA-4.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น4,,,,,,CRA,,,
-,-,400B02-EE-AREA-4.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น4,,,,,,CRA,,,
-,-,400B02-EE-AREA-4.FL-0005,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น4,,,,,,CRA,,,
-,-,400B02-EE-AREA-4.FL-0006,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น4,,,,,,CRA,,,
-,-,400B02-EE-AREA-5.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น5,,,,,,CRA,,,
-,-,400B02-EE-AREA-5.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น5,,,,,,CRA,,,
